#	X1	L1(X1)	L2(X1)
  6.79000   7.78729   7.07292
  6.80000   7.78800   7.08333
  6.81000   7.78869   7.09375
  6.82000   7.78938   7.10417
  6.83000   7.79005   7.11458
  6.84000   7.79072   7.12500
  6.85000   7.79137   7.13542
  6.86000   7.79202   7.14583
  6.87000   7.79265   7.15625
  6.88000   7.79328   7.16667
  6.89000   7.79389   7.17708
  6.90000   7.79450   7.18750
  6.91000   7.79509   7.19792
  6.92000   7.79568   7.20833
  6.93000   7.79625   7.21875
  6.94000   7.79682   7.22917
  6.95000   7.79737   7.23958
  6.96000   7.79792   7.25000
  6.97000   7.79845   7.26042
  6.98000   7.79898   7.27083
  6.99000   7.79949   7.28125
  7.00000   7.80000   7.29167
  7.01000   7.80049   7.30208
  7.02000   7.80098   7.31250
  7.03000   7.80145   7.32292
  7.04000   7.80192   7.33333
  7.05000   7.80237   7.34375
  7.06000   7.80282   7.35417
  7.07000   7.80325   7.36458
  7.08000   7.80368   7.37500
  7.09000   7.80409   7.38542
  7.10000   7.80450   7.39583
  7.11000   7.80489   7.40625
  7.12000   7.80528   7.41667
  7.13000   7.80565   7.42708
  7.14000   7.80602   7.43750
  7.15000   7.80637   7.44792
  7.16000   7.80672   7.45833
  7.17000   7.80705   7.46875
  7.18000   7.80738   7.47917
  7.19000   7.80769   7.48958
  7.20000   7.80800   7.50000
  7.21000   7.80829   7.51042
  7.22000   7.80858   7.52083
  7.23000   7.80885   7.53125
  7.24000   7.80912   7.54167
  7.25000   7.80937   7.55208
  7.26000   7.80962   7.56250
  7.27000   7.80985   7.57292
  7.28000   7.81008   7.58333
  7.29000   7.81029   7.59375
  7.30000   7.81050   7.60417
  7.31000   7.81069   7.61458
  7.32000   7.81088   7.62500
  7.33000   7.81105   7.63542
  7.34000   7.81122   7.64583
  7.35000   7.81137   7.65625
  7.36000   7.81152   7.66667
  7.37000   7.81165   7.67708
  7.38000   7.81178   7.68750
  7.39000   7.81189   7.69792
  7.40000   7.81200   7.70833
  7.41000   7.81209   7.71875
  7.42000   7.81218   7.72917
  7.43000   7.81225   7.73958
  7.44000   7.81232   7.75000
  7.45000   7.81237   7.76042
  7.46000   7.81242   7.77083
  7.47000   7.81245   7.78125
  7.48000   7.81248   7.79167
  7.49000   7.81249   7.80208
  7.50000   7.81250   7.81250
  7.51000   7.81250   7.82292
  7.52000   7.81248   7.83333
  7.53000   7.81246   7.84375
  7.54000   7.81242   7.85417
  7.55000   7.81238   7.86458
  7.56000   7.81232   7.87500
  7.57000   7.81226   7.88542
  7.58000   7.81218   7.89583
  7.59000   7.81210   7.90625
  7.60000   7.81200   7.91667
  7.61000   7.81190   7.92708
  7.62000   7.81178   7.93750
  7.63000   7.81166   7.94792
  7.64000   7.81152   7.95833
  7.65000   7.81138   7.96875
  7.66000   7.81122   7.97917
  7.67000   7.81106   7.98958
  7.68000   7.81088   8.00000
  7.69000   7.81070   8.01042
  7.70000   7.81050   8.02083
  7.71000   7.81030   8.03125
  7.72000   7.81008   8.04167
  7.73000   7.80986   8.05208
  7.74000   7.80962   8.06250
  7.75000   7.80938   8.07292
  7.76000   7.80912   8.08333
  7.77000   7.80886   8.09375
  7.78000   7.80858   8.10417
  7.79000   7.80830   8.11458
  7.80000   7.80800   8.12500
  7.81000   7.80770   8.13542
  7.82000   7.80738   8.14583
  7.83000   7.80706   8.15625
  7.84000   7.80672   8.16667
  7.85000   7.80638   8.17708
  7.86000   7.80602   8.18750
  7.87000   7.80566   8.19792
  7.88000   7.80528   8.20833
  7.89000   7.80490   8.21875
  7.90000   7.80450   8.22917
  7.91000   7.80410   8.23958
  7.92000   7.80368   8.25000
  7.93000   7.80326   8.26042
  7.94000   7.80282   8.27083
  7.95000   7.80238   8.28125
  7.96000   7.80192   8.29167
  7.97000   7.80146   8.30208
  7.98000   7.80098   8.31250
  7.99000   7.80050   8.32292
  8.00000   7.80000   8.33333
  8.01000   7.79950   8.34375
  8.02000   7.79898   8.35417
  8.03000   7.79846   8.36458
  8.04000   7.79792   8.37500
  8.05000   7.79738   8.38542
  8.06000   7.79682   8.39583
  8.07000   7.79626   8.40625
  8.08000   7.79568   8.41667
  8.09000   7.79510   8.42708
  8.10000   7.79450   8.43750
  8.11000   7.79390   8.44792
  8.12000   7.79328   8.45833
  8.13000   7.79266   8.46875
  8.14000   7.79202   8.47917
  8.15000   7.79138   8.48958
  8.16000   7.79072   8.50000
  8.17000   7.79006   8.51042
  8.18000   7.78938   8.52083
  8.19000   7.78870   8.53125
  8.20000   7.78800   8.54167
  8.21000   7.78730   8.55208
  8.22000   7.78658   8.56250
  8.23000   7.78586   8.57292
  8.24000   7.78512   8.58333
  8.25000   7.78438   8.59375
  8.26000   7.78362   8.60417
  8.27000   7.78286   8.61458
  8.28000   7.78208   8.62500
  8.29000   7.78130   8.63542
  8.30000   7.78050   8.64583
  8.31000   7.77970   8.65625
  8.32000   7.77888   8.66667
  8.33000   7.77806   8.67708
  8.34000   7.77722   8.68750
  8.35000   7.77638   8.69792
  8.36000   7.77552   8.70833
  8.37000   7.77466   8.71875
  8.38000   7.77378   8.72917
  8.39000   7.77290   8.73958
  8.40000   7.77200   8.75000
  8.41000   7.77110   8.76042
  8.42000   7.77018   8.77083
  8.43000   7.76926   8.78125
  8.44000   7.76832   8.79167
  8.45000   7.76738   8.80208
  8.46000   7.76642   8.81250
  8.47000   7.76546   8.82292
  8.48000   7.76448   8.83333
  8.49000   7.76350   8.84375
  8.50000   7.76250   8.85417
  8.51000   7.76150   8.86458
  8.52000   7.76048   8.87500
  8.53000   7.75946   8.88542
  8.54000   7.75842   8.89583
  8.55000   7.75738   8.90625
  8.56000   7.75632   8.91667
  8.57000   7.75526   8.92708
  8.58000   7.75418   8.93750
  8.59000   7.75310   8.94792
  8.60000   7.75200   8.95833
  8.61000   7.75090   8.96875
  8.62000   7.74978   8.97917
  8.63000   7.74866   8.98958
  8.64000   7.74752   9.00000
  8.65000   7.74638   9.01042
